Entidad,A̱o,Clave_Ent,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Poblacion,Enero_percapita,Febrero_percapita,Marzo_percapita,Abril_percapita,Mayo_percapita,Junio_percapita,Julio_percapita,Agosto_percapita,Septiembre_percapita,Octubre_percapita,Noviembre_percapita,Diciembre_percapita
AGUASCALIENTES,2015,1,6.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,1331825.0,4.5050963902915175e-06,7.508493983819195e-07,3.003397593527678e-06,3.003397593527678e-06,3.003397593527678e-06,3.003397593527678e-06,1.501698796763839e-06,2.2525481951457588e-06,3.003397593527678e-06,1.501698796763839e-06,1.501698796763839e-06,1.501698796763839e-06
AGUASCALIENTES,2016,1,0.0,3.0,7.0,5.0,5.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,1355321.0,0.0,2.2134977617848466e-06,5.164828110831308e-06,3.6891629363080777e-06,3.6891629363080777e-06,2.2134977617848466e-06,7.378325872616155e-07,1.475665174523231e-06,2.951330349046462e-06,2.951330349046462e-06,1.475665174523231e-06,2.2134977617848466e-06
AGUASCALIENTES,2017,1,5.0,2.0,4.0,6.0,10.0,12.0,3.0,10.0,10.0,9.0,5.0,6.0,1375782.0,3.6342967127059376e-06,1.4537186850823749e-06,2.9074373701647497e-06,4.361156055247125e-06,7.268593425411875e-06,8.72231211049425e-06,2.1805780276235623e-06,7.268593425411875e-06,7.268593425411875e-06,6.541734082870687e-06,3.6342967127059376e-06,4.361156055247125e-06
AGUASCALIENTES,2018,1,9.0,7.0,5.0,8.0,9.0,6.0,4.0,5.0,10.0,3.0,5.0,4.0,1395794.0,6.44794289128625e-06,5.015066693222639e-06,3.5821904951590276e-06,5.731504792254444e-06,6.44794289128625e-06,4.298628594190833e-06,2.865752396127222e-06,3.5821904951590276e-06,7.164380990318055e-06,2.1493142970954166e-06,3.5821904951590276e-06,2.865752396127222e-06
AGUASCALIENTES,2019,1,9.0,7.0,9.0,6.0,10.0,6.0,5.0,2.0,11.0,11.0,7.0,8.0,1415421.0,6.358532196427777e-06,4.945525041666048e-06,6.358532196427777e-06,4.2390214642851845e-06,7.0650357738086405e-06,4.2390214642851845e-06,3.5325178869043203e-06,1.4130071547617282e-06,7.771539351189504e-06,7.771539351189504e-06,4.945525041666048e-06,5.652028619046913e-06
AGUASCALIENTES,2020,1,4.0,9.0,7.0,4.0,11.0,8.0,10.0,6.0,2.0,4.0,5.0,2.0,1434635.0,2.7881656309793085e-06,6.273372669703444e-06,4.879289854213789e-06,2.7881656309793085e-06,7.667455485193097e-06,5.576331261958617e-06,6.9704140774482705e-06,4.1822484464689625e-06,1.3940828154896542e-06,2.7881656309793085e-06,3.4852070387241353e-06,1.3940828154896542e-06
AGUASCALIENTES,2021,1,3.0,5.0,6.0,5.0,7.0,7.0,6.0,9.0,4.0,12.0,2.0,9.0,1453452.0,2.0640516508285105e-06,3.4400860847141837e-06,4.128103301657021e-06,3.4400860847141837e-06,4.816120518599857e-06,4.816120518599857e-06,4.128103301657021e-06,6.192154952485531e-06,2.7520688677713473e-06,8.256206603314042e-06,1.3760344338856736e-06,6.192154952485531e-06
AGUASCALIENTES,2022,1,6.0,3.0,5.0,2.0,4.0,8.0,7.0,9.0,8.0,8.0,4.0,6.0,1471859.0,4.076477434319456e-06,2.038238717159728e-06,3.3970645285995466e-06,1.3588258114398186e-06,2.7176516228796373e-06,5.4353032457592745e-06,4.755890340039365e-06,6.114716151479183e-06,5.4353032457592745e-06,5.4353032457592745e-06,2.7176516228796373e-06,4.076477434319456e-06
AGUASCALIENTES,2023,1,5.0,7.0,12.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1489875.0,3.355986240456414e-06,4.69838073663898e-06,8.054366977095394e-06,4.027183488547697e-06,1.3423944961825657e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAJA CALIFORNIA,2015,2,49.0,56.0,56.0,60.0,75.0,76.0,72.0,77.0,86.0,68.0,78.0,68.0,3357794.0,1.4592914276456506e-05,1.6677616315950294e-05,1.6677616315950294e-05,1.7868874624232457e-05,2.233609328029057e-05,2.2633907857361114e-05,2.1442649549078948e-05,2.2931722434431655e-05,2.561205362806652e-05,2.0251391240796785e-05,2.3229537011502195e-05,2.0251391240796785e-05
BAJA CALIFORNIA,2016,2,87.0,71.0,88.0,75.0,98.0,81.0,104.0,81.0,126.0,100.0,124.0,133.0,3403335.0,2.5563160840763545e-05,2.0861889881542663e-05,2.585699027571485e-05,2.2037207621347885e-05,2.87952846252279e-05,2.3800184231055713e-05,3.055826123493573e-05,2.3800184231055713e-05,3.7022508803864444e-05,2.938294349513051e-05,3.643484993396184e-05,3.907931484852358e-05
BAJA CALIFORNIA,2017,2,129.0,125.0,151.0,146.0,185.0,186.0,174.0,197.0,230.0,206.0,178.0,177.0,3462872.0,3.725231541910876e-05,3.6097204863477484e-05,4.36054234750808e-05,4.21615352805417e-05,5.3423863197946674e-05,5.37126408368545e-05,5.024730916996066e-05,5.6889194864840515e-05,6.641885694879857e-05,5.9488193615010896e-05,5.1402419725591936e-05,5.111364208668412e-05
BAJA CALIFORNIA,2018,2,212.0,183.0,208.0,240.0,239.0,220.0,272.0,242.0,239.0,255.0,253.0,235.0,3521242.0,6.0206029577064e-05,5.197029911605053e-05,5.9070066754855247e-05,6.815776933252529e-05,6.78737786269731e-05,6.247795522148151e-05,7.724547191019533e-05,6.872575074362966e-05,6.78737786269731e-05,7.241762991580812e-05,7.184964850470374e-05,6.673781580476434e-05
BAJA CALIFORNIA,2019,2,234.0,184.0,181.0,194.0,231.0,241.0,260.0,248.0,213.0,218.0,217.0,185.0,3578561.0,6.538941211285765e-05,5.141731550754619e-05,5.05789897112275e-05,5.4211734828608484e-05,6.455108631653897e-05,6.734550563760126e-05,7.265490234761961e-05,6.930159916234487e-05,5.952113153862684e-05,6.0918341199157986e-05,6.063889926705176e-05,5.1696757439652416e-05
BAJA CALIFORNIA,2020,2,193.0,170.0,225.0,220.0,240.0,197.0,245.0,250.0,229.0,206.0,225.0,229.0,3634868.0,5.309683872976956e-05,4.676923618684365e-05,6.190045965905777e-05,6.052489388885649e-05,6.602715696966162e-05,5.419729134593058e-05,6.74027227398629e-05,6.877828851006418e-05,6.30009122752188e-05,5.667330973229289e-05,6.190045965905777e-05,6.30009122752188e-05
BAJA CALIFORNIA,2021,2,244.0,217.0,240.0,239.0,252.0,241.0,252.0,235.0,195.0,176.0,196.0,183.0,3690160.0,6.612179417694625e-05,5.8805038263923514e-05,6.503783033797993e-05,6.476683937823834e-05,6.828972185487893e-05,6.530882129772151e-05,6.828972185487893e-05,6.368287553927201e-05,5.284323714960869e-05,4.7694408914518614e-05,5.311422810935027e-05,4.9591345632709695e-05
BAJA CALIFORNIA,2022,2,200.0,150.0,187.0,194.0,213.0,230.0,229.0,205.0,203.0,223.0,175.0,190.0,3744415.0,5.341288292029596e-05,4.005966219022197e-05,4.994104553047672e-05,5.181049643268708e-05,5.68847203101152e-05,6.142481535834036e-05,6.115775094373887e-05,5.4748204993303357e-05,5.42140761641004e-05,5.955536445613e-05,4.673627255525897e-05,5.074223877428116e-05
BAJA CALIFORNIA,2023,2,175.0,142.0,152.0,164.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3797610.0,4.608161448911289e-05,3.739193861402303e-05,4.0025173727686625e-05,4.318505586408294e-05,5.0821437693707355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAJA CALIFORNIA SUR,2015,3,17.0,7.0,8.0,16.0,16.0,6.0,11.0,23.0,29.0,6.0,7.0,5.0,719846.0,2.361616234583508e-05,9.724302142402681e-06,1.111348816274592e-05,2.222697632549184e-05,2.222697632549184e-05,8.335116122059441e-06,1.528104622377564e-05,3.195127846789452e-05,4.028639458995396e-05,8.335116122059441e-06,9.724302142402681e-06,6.945930101716201e-06
BAJA CALIFORNIA SUR,2016,3,9.0,4.0,6.0,12.0,10.0,17.0,12.0,29.0,31.0,25.0,32.0,29.0,736995.0,1.2211751775792238e-05,5.4274452336854385e-06,8.141167850528158e-06,1.6282335701056316e-05,1.3568613084213598e-05,2.3066642243163114e-05,1.6282335701056316e-05,3.934897794421943e-05,4.206270056106215e-05,3.392153271053399e-05,4.341956186948351e-05,3.934897794421943e-05
BAJA CALIFORNIA SUR,2017,3,47.0,45.0,62.0,14.0,26.0,34.0,40.0,38.0,48.0,105.0,90.0,61.0,754270.0,6.231190422527742e-05,5.9660333832712424e-05,8.21986821695149e-05,1.8560992747954977e-05,3.4470415103344954e-05,4.507669667360494e-05,5.3031407851299934e-05,5.0379837458734934e-05,6.363768942155992e-05,0.0001392074456096623,0.00011932066766542485,8.087289697323239e-05
BAJA CALIFORNIA SUR,2018,3,35.0,18.0,24.0,14.0,12.0,6.0,6.0,14.0,20.0,5.0,4.0,4.0,771294.0,4.537828636032434e-05,2.333740441388109e-05,3.111653921850812e-05,1.8151314544129735e-05,1.555826960925406e-05,7.77913480462703e-06,7.77913480462703e-06,1.8151314544129735e-05,2.5930449348756765e-05,6.482612337189191e-06,5.186089869751353e-06,5.186089869751353e-06
BAJA CALIFORNIA SUR,2019,3,13.0,5.0,13.0,9.0,6.0,3.0,5.0,7.0,6.0,7.0,5.0,2.0,788119.0,1.649497093713005e-05,6.344219591203866e-06,1.649497093713005e-05,1.141959526416696e-05,7.6130635094446394e-06,3.8065317547223197e-06,6.344219591203866e-06,8.881907427685414e-06,7.6130635094446394e-06,8.881907427685414e-06,6.344219591203866e-06,2.5376878364815465e-06
BAJA CALIFORNIA SUR,2020,3,6.0,2.0,2.0,3.0,7.0,5.0,6.0,8.0,3.0,5.0,5.0,10.0,804708.0,7.4561207295068524e-06,2.485373576502284e-06,2.485373576502284e-06,3.7280603647534262e-06,8.698807517757994e-06,6.21343394125571e-06,7.4561207295068524e-06,9.941494306009136e-06,3.7280603647534262e-06,6.21343394125571e-06,6.21343394125571e-06,1.242686788251142e-05
BAJA CALIFORNIA SUR,2021,3,6.0,1.0,7.0,5.0,6.0,3.0,3.0,4.0,4.0,0.0,0.0,9.0,821059.0,7.307635626672383e-06,1.2179392711120638e-06,8.525574897784447e-06,6.089696355560319e-06,7.307635626672383e-06,3.6538178133361914e-06,3.6538178133361914e-06,4.871757084448255e-06,4.871757084448255e-06,0.0,0.0,1.0961453440008574e-05
BAJA CALIFORNIA SUR,2022,3,4.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,6.0,3.0,0.0,4.0,837168.0,4.7780134931101045e-06,3.5835101198325784e-06,3.5835101198325784e-06,3.5835101198325784e-06,5.972516866387631e-06,3.5835101198325784e-06,2.3890067465550523e-06,3.5835101198325784e-06,7.167020239665157e-06,3.5835101198325784e-06,0.0,4.7780134931101045e-06
BAJA CALIFORNIA SUR,2023,3,3.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853026.0,3.516891630501298e-06,1.1722972101670993e-06,5.861486050835496e-06,3.516891630501298e-06,3.516891630501298e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPECHE,2015,4,2.0,3.0,9.0,4.0,7.0,5.0,0.0,3.0,3.0,4.0,3.0,6.0,916832.0,2.181424732121043e-06,3.272137098181564e-06,9.816411294544692e-06,4.362849464242086e-06,7.63498656242365e-06,5.453561830302607e-06,0.0,3.272137098181564e-06,3.272137098181564e-06,4.362849464242086e-06,3.272137098181564e-06,6.544274196363128e-06
CAMPECHE,2016,4,12.0,3.0,4.0,7.0,7.0,5.0,8.0,8.0,6.0,7.0,7.0,7.0,933436.0,1.285572872698289e-05,3.2139321817457223e-06,4.285242908994297e-06,7.499175090740019e-06,7.499175090740019e-06,5.35655363624287e-06,8.570485817988593e-06,8.570485817988593e-06,6.427864363491445e-06,7.499175090740019e-06,7.499175090740019e-06,7.499175090740019e-06
CAMPECHE,2017,4,7.0,6.0,8.0,6.0,5.0,8.0,3.0,7.0,5.0,3.0,4.0,4.0,950458.0,7.364870409844517e-06,6.312746065581015e-06,8.41699475410802e-06,6.312746065581015e-06,5.260621721317512e-06,8.41699475410802e-06,3.1563730327905074e-06,7.364870409844517e-06,5.260621721317512e-06,3.1563730327905074e-06,4.20849737705401e-06,4.20849737705401e-06
CAMPECHE,2018,4,4.0,7.0,2.0,3.0,4.0,10.0,6.0,9.0,5.0,5.0,7.0,7.0,967319.0,4.135140527581905e-06,7.236495923268332e-06,2.0675702637909523e-06,3.101355395686428e-06,4.135140527581905e-06,1.033785131895476e-05,6.202710791372856e-06,9.304066187059285e-06,5.16892565947738e-06,5.16892565947738e-06,7.236495923268332e-06,7.236495923268332e-06
CAMPECHE,2019,4,3.0,5.0,2.0,4.0,9.0,5.0,7.0,12.0,6.0,11.0,3.0,6.0,984046.0,3.048637970176191e-06,5.081063283626985e-06,2.032425313450794e-06,4.064850626901588e-06,9.145913910528572e-06,5.081063283626985e-06,7.1134885970777786e-06,1.2194551880704764e-05,6.097275940352382e-06,1.1178339223979366e-05,3.048637970176191e-06,6.097275940352382e-06
CAMPECHE,2020,4,4.0,9.0,8.0,3.0,6.0,5.0,7.0,9.0,7.0,9.0,2.0,8.0,1000617.0,3.997533521817039e-06,8.994450424088338e-06,7.995067043634078e-06,2.9981501413627794e-06,5.996300282725559e-06,4.996916902271299e-06,6.995683663179818e-06,8.994450424088338e-06,6.995683663179818e-06,8.994450424088338e-06,1.9987667609085194e-06,7.995067043634078e-06
CAMPECHE,2021,4,5.0,11.0,6.0,3.0,12.0,5.0,7.0,15.0,9.0,4.0,1.0,7.0,1017011.0,4.916367669572895e-06,1.081600887306037e-05,5.899641203487475e-06,2.9498206017437375e-06,1.179928240697495e-05,4.916367669572895e-06,6.882914737402054e-06,1.4749103008718687e-05,8.849461805231211e-06,3.933094135658317e-06,9.832735339145792e-07,6.882914737402054e-06
CAMPECHE,2022,4,5.0,4.0,3.0,2.0,11.0,9.0,9.0,1.0,7.0,8.0,15.0,13.0,1033223.0,4.839226381913682e-06,3.871381105530945e-06,2.9035358291482092e-06,1.9356905527654725e-06,1.06462980402101e-05,8.710607487444627e-06,8.710607487444627e-06,9.678452763827363e-07,6.774916934679154e-06,7.74276221106189e-06,1.4517679145741045e-05,1.2581988592975572e-05
CAMPECHE,2023,4,10.0,4.0,9.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049244.0,9.530671607366827e-06,3.812268642946731e-06,8.577604446630144e-06,7.624537285893462e-06,9.530671607366827e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHIAPAS,2015,7,37.0,40.0,32.0,48.0,40.0,38.0,34.0,57.0,53.0,45.0,40.0,38.0,5307819.0,6.97084810164024e-06,7.536052001773233e-06,6.028841601418586e-06,9.04326240212788e-06,7.536052001773233e-06,7.159249401684571e-06,6.405644201507248e-06,1.0738874102526857e-05,9.985268902349533e-06,8.478058501994887e-06,7.536052001773233e-06,7.159249401684571e-06
CHIAPAS,2016,7,36.0,34.0,40.0,35.0,34.0,40.0,39.0,40.0,38.0,50.0,44.0,38.0,5393944.0,6.67415160409526e-06,6.303365403867745e-06,7.415724004550288e-06,6.488758503981502e-06,6.303365403867745e-06,7.415724004550288e-06,7.230330904436531e-06,7.415724004550288e-06,7.044937804322774e-06,9.26965500568786e-06,8.157296405005317e-06,7.044937804322774e-06
CHIAPAS,2017,7,46.0,46.0,42.0,43.0,38.0,45.0,34.0,41.0,39.0,34.0,31.0,36.0,5479352.0,8.395153295499175e-06,8.395153295499175e-06,7.665139965455769e-06,7.847643297966621e-06,6.935126635412363e-06,8.212649962988325e-06,6.205113305368956e-06,7.482636632944918e-06,7.1176299679232145e-06,6.205113305368956e-06,5.657603307836401e-06,6.5701199703906594e-06
CHIAPAS,2018,7,41.0,46.0,51.0,50.0,52.0,43.0,57.0,45.0,53.0,44.0,41.0,39.0,5563869.0,7.368972921540748e-06,8.267628155874986e-06,9.166283390209223e-06,8.986552343342376e-06,9.34601443707607e-06,7.728435015274443e-06,1.0244669671410309e-05,8.087897109008139e-06,9.525745483942919e-06,7.90816606214129e-06,7.368972921540748e-06,7.009510827807053e-06
CHIAPAS,2019,7,49.0,47.0,35.0,42.0,38.0,45.0,46.0,36.0,55.0,31.0,52.0,49.0,5647532.0,8.676356326976102e-06,8.322219334038302e-06,6.197397376411501e-06,7.436876851693802e-06,6.728602865818202e-06,7.968082341100502e-06,8.145150837569402e-06,6.374465872880401e-06,9.738767305789503e-06,5.489123390535902e-06,9.207561816382802e-06,8.676356326976102e-06
CHIAPAS,2020,7,38.0,35.0,27.0,33.0,32.0,40.0,42.0,48.0,29.0,36.0,33.0,26.0,5730367.0,6.631337923033551e-06,6.107811244899324e-06,4.7117401032080495e-06,5.758793459476505e-06,5.584284566765095e-06,6.9803557084563695e-06,7.329373493879188e-06,8.376426850147643e-06,5.060757888630868e-06,6.2823201376107324e-06,5.758793459476505e-06,4.53723121049664e-06
CHIAPAS,2021,7,41.0,26.0,52.0,39.0,38.0,47.0,38.0,25.0,32.0,39.0,22.0,30.0,5812375.0,7.0539151379599565e-06,4.473214477730704e-06,8.946428955461407e-06,6.7098217165960555e-06,6.5377750059141054e-06,8.086195402051658e-06,6.5377750059141054e-06,4.301167767048754e-06,5.505494741822405e-06,6.7098217165960555e-06,3.7850276350029034e-06,5.161401320458505e-06
CHIAPAS,2022,7,28.0,37.0,38.0,37.0,30.0,28.0,35.0,29.0,23.0,22.0,35.0,35.0,5893520.0,4.750980738166664e-06,6.278081689720235e-06,6.4477595732261876e-06,6.278081689720235e-06,5.090336505178569e-06,4.750980738166664e-06,5.938725922708331e-06,4.920658621672617e-06,3.902591320636903e-06,3.7329134371309507e-06,5.938725922708331e-06,5.938725922708331e-06
CHIAPAS,2023,7,41.0,23.0,37.0,43.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5973838.0,6.863259432210917e-06,3.850121144898807e-06,6.193673146141559e-06,7.198052575245596e-06,6.026276574624219e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHIHUAHUA,2015,8,94.0,87.0,83.0,63.0,87.0,99.0,84.0,97.0,59.0,70.0,60.0,62.0,3616481.0,2.599211775203575e-05,2.4056534515182022e-05,2.2950486951265608e-05,1.7420249131683534e-05,2.4056534515182022e-05,2.7374677206931268e-05,2.322699884224471e-05,2.682165342497306e-05,1.631420156776712e-05,1.9355832368537262e-05,1.6590713458746223e-05,1.714373724070443e-05
CHIHUAHUA,2016,8,77.0,64.0,75.0,90.0,110.0,96.0,104.0,117.0,126.0,158.0,106.0,109.0,3649416.0,2.1099266293565875e-05,1.7537052503743064e-05,2.0551233402823904e-05,2.4661480083388686e-05,3.0141808990808393e-05,2.6305578755614596e-05,2.849771031858248e-05,3.205992410840529e-05,3.452607211674416e-05,4.329459836861569e-05,2.904574320932445e-05,2.9867792545437407e-05
CHIHUAHUA,2017,8,121.0,145.0,118.0,100.0,139.0,170.0,107.0,119.0,133.0,135.0,129.0,150.0,3689398.0,3.279667848250582e-05,3.930180479308548e-05,3.198353769368336e-05,2.710469296074861e-05,3.7675523215440565e-05,4.6077978033272635e-05,2.9002021468001013e-05,3.2254584623290845e-05,3.604924163779565e-05,3.659133549701062e-05,3.4965053919365705e-05,4.0657039441122915e-05
CHIHUAHUA,2018,8,124.0,110.0,112.0,116.0,194.0,208.0,213.0,220.0,135.0,104.0,139.0,132.0,3727984.0,3.326194533023747e-05,2.9506564405855818e-05,3.0043047395053197e-05,3.111601337344796e-05,5.203884995214572e-05,5.579423087652737e-05,5.713543834952081e-05,5.9013128811711635e-05,3.621260177082305e-05,2.7897115438263685e-05,3.728556774921781e-05,3.540787728702698e-05
CHIHUAHUA,2019,8,162.0,151.0,172.0,176.0,209.0,205.0,206.0,186.0,181.0,188.0,197.0,146.0,3765325.0,4.302417454004634e-05,4.0102779972512334e-05,4.567998778325908e-05,4.674231308054418e-05,5.550649678314621e-05,5.444417148586111e-05,5.470975281018239e-05,4.939812632375691e-05,4.807021970215055e-05,4.992928897239946e-05,5.231952089129093e-05,3.877487335090596e-05
CHIHUAHUA,2020,8,162.0,173.0,224.0,221.0,194.0,227.0,213.0,244.0,162.0,186.0,141.0,149.0,3801487.0,4.2614903062933e-05,4.550850759189759e-05,5.892431040800613e-05,5.813514553647033e-05,5.1032661692648165e-05,5.971347527954193e-05,5.603070587904154e-05,6.418540955157811e-05,4.2614903062933e-05,4.8928222035219376e-05,3.709074896218243e-05,3.919518861961122e-05
CHIHUAHUA,2021,8,160.0,152.0,176.0,171.0,212.0,181.0,198.0,195.0,142.0,149.0,152.0,171.0,3836506.0,4.170461352073996e-05,3.961938284470297e-05,4.587507487281396e-05,4.457180570029084e-05,5.525861291498045e-05,4.717834404533709e-05,5.1609459231915706e-05,5.0827497728401835e-05,3.701284449965672e-05,3.883742134118909e-05,3.961938284470297e-05,4.457180570029084e-05
CHIHUAHUA,2022,8,114.0,112.0,108.0,111.0,153.0,162.0,176.0,182.0,147.0,154.0,124.0,111.0,3870381.0,2.9454464560465752e-05,2.893771956817688e-05,2.7904229583599133e-05,2.8679347072032444e-05,3.953099191009877e-05,4.18563443753987e-05,4.547355932142081e-05,4.702379429828743e-05,3.798075693323216e-05,3.978936440624321e-05,3.2038189521910115e-05,2.8679347072032444e-05
CHIHUAHUA,2023,8,140.0,150.0,161.0,116.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3903129.0,3.586865819705165e-05,3.843070521112677e-05,4.124895692660939e-05,2.9719745363271366e-05,4.4067208642092024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIUDAD DE MEXICO,2015,9,55.0,60.0,55.0,71.0,78.0,68.0,71.0,67.0,68.0,66.0,71.0,68.0,9058734.0,6.071488576659829e-06,6.6234420836289044e-06,6.071488576659829e-06,7.837739798960871e-06,8.610474708717575e-06,7.506567694779425e-06,7.837739798960871e-06,7.39617699338561e-06,7.506567694779425e-06,7.285786291991795e-06,7.837739798960871e-06,7.506567694779425e-06
CIUDAD DE MEXICO,2016,9,65.0,66.0,69.0,70.0,72.0,73.0,74.0,68.0,89.0,82.0,77.0,101.0,9053990.0,7.179155267456668e-06,7.289603810032925e-06,7.620949437761694e-06,7.731397980337951e-06,7.952295065490463e-06,8.06274360806672e-06,8.173192150642976e-06,7.510500895185437e-06,9.829920289286822e-06,9.056780491253027e-06,8.504537778371746e-06,1.11553028002019e-05
CIUDAD DE MEXICO,2017,9,92.0,69.0,71.0,89.0,101.0,94.0,78.0,87.0,96.0,95.0,81.0,95.0,9049086.0,1.0166772644220643e-05,7.625079483165482e-06,7.846096279778974e-06,9.835247449300404e-06,1.1161348228981358e-05,1.0387789440834136e-05,8.619655067926198e-06,9.614230652686912e-06,1.0608806237447627e-05,1.0498297839140881e-05,8.951180262846436e-06,1.0498297839140881e-05
