Entidad,AÃ±o,Clave_Ent,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Poblacion,Enero_percapita,Febrero_percapita,Marzo_percapita,Abril_percapita,Mayo_percapita,Junio_percapita,Julio_percapita,Agosto_percapita,Septiembre_percapita,Octubre_percapita,Noviembre_percapita,Diciembre_percapita
CIUDAD DE MEXICO,2018,9,74.0,115.0,118.0,131.0,115.0,123.0,120.0,109.0,100.0,110.0,102.0,147.0,9041395.0,8.184577711735854e-06,1.2719276173643558e-05,1.305108337817339e-05,1.4488914597802662e-05,1.2719276173643558e-05,1.360409538572311e-05,1.3272288181193279e-05,1.2055661764583894e-05,1.1060240150994398e-05,1.2166264166093839e-05,1.1281444954014286e-05,1.6258553021961767e-05
CIUDAD DE MEXICO,2019,9,132.0,113.0,157.0,114.0,157.0,117.0,115.0,95.0,93.0,95.0,106.0,102.0,9031213.0,1.4615976835005442e-05,1.2512161987542537e-05,1.7384154265877685e-05,1.2622889084777428e-05,1.7384154265877685e-05,1.2955070376482096e-05,1.2733616182012317e-05,1.0519074237314523e-05,1.0297620042844743e-05,1.0519074237314523e-05,1.1737072306898309e-05,1.1294163917958751e-05
CIUDAD DE MEXICO,2020,9,106.0,95.0,120.0,111.0,96.0,96.0,90.0,73.0,73.0,95.0,84.0,89.0,9018645.0,1.1753428591545626e-05,1.053373317166825e-05,1.3305768216844105e-05,1.2307835600580797e-05,1.0644614573475285e-05,1.0644614573475285e-05,9.979326162633078e-06,8.094342331913497e-06,8.094342331913497e-06,1.053373317166825e-05,9.314037751790872e-06,9.868444760826044e-06
CIUDAD DE MEXICO,2021,9,85.0,80.0,79.0,74.0,100.0,63.0,83.0,78.0,70.0,59.0,78.0,72.0,9003827.0,9.44043016375148e-06,8.885110742354335e-06,8.774046858074905e-06,8.21872743667776e-06,1.1106388427942918e-05,6.9970247096040385e-06,9.218302395192622e-06,8.662982973795476e-06,7.774471899560043e-06,6.552769172486322e-06,8.662982973795476e-06,7.9965996681189e-06
CIUDAD DE MEXICO,2022,9,45.0,45.0,56.0,58.0,68.0,53.0,63.0,66.0,53.0,60.0,75.0,67.0,8986774.0,5.007358591636999e-06,5.007358591636999e-06,6.231379580703821e-06,6.453928851443243e-06,7.566675205140354e-06,5.8975556745946874e-06,7.010302028291798e-06,7.344125934400932e-06,5.8975556745946874e-06,6.676478122182666e-06,8.345597652728331e-06,7.455400569770643e-06
CIUDAD DE MEXICO,2023,9,60.0,53.0,83.0,59.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8967558.0,6.690784715303765e-06,5.910193165184992e-06,9.255585522836874e-06,6.579271636715369e-06,7.248350108245745e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COAHUILA DE ZARAGOZA,2015,5,51.0,21.0,32.0,22.0,24.0,14.0,23.0,21.0,15.0,12.0,17.0,26.0,3000556.0,1.699684991714869e-05,6.9987029070612245e-06,1.0664690144093295e-05,7.3319744740641405e-06,7.998517608069972e-06,4.665801938040816e-06,7.665246041067056e-06,6.9987029070612245e-06,4.9990735050437315e-06,3.999258804034986e-06,5.665616639049563e-06,8.665060742075802e-06
COAHUILA DE ZARAGOZA,2016,5,17.0,15.0,17.0,23.0,32.0,17.0,17.0,14.0,15.0,14.0,14.0,17.0,3043062.0,5.586478356339766e-06,4.929245608535087e-06,5.586478356339766e-06,7.5581765997538e-06,1.0515723964874854e-05,5.586478356339766e-06,5.586478356339766e-06,4.6006292346327484e-06,4.929245608535087e-06,4.6006292346327484e-06,4.6006292346327484e-06,5.586478356339766e-06
COAHUILA DE ZARAGOZA,2017,5,19.0,20.0,16.0,24.0,23.0,21.0,25.0,7.0,19.0,14.0,17.0,17.0,3087852.0,6.15314464553353e-06,6.4769943637195045e-06,5.181595490975604e-06,7.772393236463406e-06,7.44854351827743e-06,6.80084408190548e-06,8.096242954649381e-06,2.2669480273018267e-06,6.15314464553353e-06,4.5338960546036535e-06,5.505445209161579e-06,5.505445209161579e-06
COAHUILA DE ZARAGOZA,2018,5,23.0,15.0,14.0,19.0,22.0,23.0,17.0,18.0,22.0,14.0,20.0,21.0,3132017.0,7.343510587586211e-06,4.789246035382311e-06,4.469962966356824e-06,6.0663783114842604e-06,7.024227518560723e-06,7.343510587586211e-06,5.427812173433286e-06,5.747095242458773e-06,7.024227518560723e-06,4.469962966356824e-06,6.3856613805097484e-06,6.704944449535236e-06
COAHUILA DE ZARAGOZA,2019,5,29.0,19.0,20.0,17.0,22.0,16.0,20.0,14.0,22.0,13.0,14.0,16.0,3175643.0,9.132008856159209e-06,5.9830402850698265e-06,6.297937142178765e-06,5.35324657085195e-06,6.927730856396642e-06,5.038349713743012e-06,6.297937142178765e-06,4.408555999525136e-06,6.927730856396642e-06,4.093659142416197e-06,4.408555999525136e-06,5.038349713743012e-06
COAHUILA DE ZARAGOZA,2020,5,26.0,12.0,21.0,11.0,9.0,21.0,22.0,16.0,14.0,15.0,20.0,7.0,3218720.0,8.077745190634787e-06,3.728190087985286e-06,6.524332653974251e-06,3.4175075806531787e-06,2.7961425659889647e-06,6.524332653974251e-06,6.8350151613063575e-06,4.970920117313715e-06,4.3495551026495004e-06,4.660237609981607e-06,6.213650146642144e-06,2.1747775513247502e-06
COAHUILA DE ZARAGOZA,2021,5,15.0,9.0,9.0,15.0,10.0,14.0,14.0,8.0,14.0,7.0,13.0,9.0,3261259.0,4.599450702934051e-06,2.7596704217604304e-06,2.7596704217604304e-06,4.599450702934051e-06,3.0663004686227007e-06,4.292820656071781e-06,4.292820656071781e-06,2.4530403748981605e-06,4.292820656071781e-06,2.1464103280358906e-06,3.98619060920951e-06,2.7596704217604304e-06
COAHUILA DE ZARAGOZA,2022,5,11.0,7.0,11.0,16.0,12.0,8.0,13.0,6.0,14.0,10.0,7.0,13.0,3303220.0,3.330083978663244e-06,2.119144350058428e-06,3.330083978663244e-06,4.843758514419264e-06,3.6328188858144476e-06,2.421879257209632e-06,3.935553792965652e-06,1.8164094429072238e-06,4.238288700116856e-06,3.02734907151204e-06,2.119144350058428e-06,3.935553792965652e-06
COAHUILA DE ZARAGOZA,2023,5,9.0,9.0,8.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3344621.0,2.6908878464854465e-06,2.6908878464854465e-06,2.3919003079870635e-06,2.9898753849838292e-06,2.3919003079870635e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLIMA,2015,6,8.0,9.0,11.0,7.0,12.0,11.0,8.0,9.0,20.0,15.0,23.0,29.0,721696.0,1.1084999778300005e-05,1.2470624750587505e-05,1.5241874695162506e-05,9.699374806012503e-06,1.6627499667450006e-05,1.5241874695162506e-05,1.1084999778300005e-05,1.2470624750587505e-05,2.771249944575001e-05,2.0784374584312508e-05,3.186937436261251e-05,4.018312419633752e-05
COLIMA,2016,6,28.0,39.0,46.0,53.0,37.0,31.0,43.0,40.0,40.0,39.0,48.0,58.0,734663.0,3.811271290373954e-05,5.308556440163721e-05,6.26137426275721e-05,7.214192085350699e-05,5.0363227765655815e-05,4.219621785771163e-05,5.85302376736e-05,5.444673271962791e-05,5.444673271962791e-05,5.308556440163721e-05,6.53360792635535e-05,7.894776244346047e-05
COLIMA,2017,6,69.0,34.0,48.0,33.0,52.0,78.0,82.0,55.0,48.0,64.0,59.0,76.0,747603.0,9.22949747392667e-05,4.547868320485605e-05,6.420519981862031e-05,4.4141074875301464e-05,6.955563313683867e-05,0.00010433344970525801,0.00010968388302347636,7.356845812550244e-05,6.420519981862031e-05,8.560693309149375e-05,7.89188914437208e-05,0.00010165823304614882
COLIMA,2018,6,56.0,51.0,52.0,46.0,49.0,52.0,41.0,49.0,51.0,69.0,53.0,48.0,760333.0,7.365193934762795e-05,6.707587333444688e-05,6.83910865370831e-05,6.049980732126581e-05,6.444544692917445e-05,6.83910865370831e-05,5.392374130808475e-05,6.444544692917445e-05,6.707587333444688e-05,9.074971098189872e-05,6.97062997397193e-05,6.313023372653825e-05
COLIMA,2019,6,59.0,45.0,48.0,52.0,59.0,50.0,61.0,58.0,60.0,50.0,62.0,57.0,772842.0,7.634160669321802e-05,5.82266491727934e-05,6.210842578431297e-05,6.728412793300572e-05,7.634160669321802e-05,6.469627685865934e-05,7.892945776756439e-05,7.504768115604483e-05,7.76355322303912e-05,6.469627685865934e-05,8.022338330473758e-05,7.375375561887164e-05
COLIMA,2020,6,58.0,56.0,49.0,54.0,50.0,42.0,34.0,29.0,39.0,46.0,46.0,41.0,785153.0,7.387095254046027e-05,7.132367831492716e-05,6.240821852556126e-05,6.877640408939405e-05,6.368185563832781e-05,5.349275873619537e-05,4.330366183406292e-05,3.6935476270230134e-05,4.9671847397895695e-05,5.858730718726159e-05,5.858730718726159e-05,5.221912162342881e-05
COLIMA,2021,6,49.0,48.0,39.0,37.0,37.0,42.0,40.0,36.0,39.0,38.0,30.0,39.0,797245.0,6.146165858675815e-05,6.0207339023763085e-05,4.891846295680751e-05,4.6409823830817376e-05,4.6409823830817376e-05,5.2681421645792696e-05,5.017278251980257e-05,4.515550426782231e-05,4.891846295680751e-05,4.766414339381244e-05,3.7629586889851924e-05,4.891846295680751e-05
COLIMA,2022,6,32.0,58.0,82.0,70.0,74.0,55.0,47.0,63.0,67.0,76.0,55.0,59.0,809115.0,3.9549384203728765e-05,7.168325886925838e-05,0.00010134529702205497,8.651427794565668e-05,9.145795097112277e-05,6.797550410015882e-05,5.808815804922662e-05,7.786285015109101e-05,8.28065231765571e-05,9.392978748385582e-05,6.797550410015882e-05,7.291917712562492e-05
COLIMA,2023,6,63.0,43.0,63.0,67.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820771.0,7.675709789941409e-05,5.2389765232933426e-05,7.675709789941409e-05,8.163056443271022e-05,9.503259739927459e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DURANGO,2015,10,17.0,20.0,31.0,28.0,21.0,19.0,22.0,15.0,13.0,14.0,14.0,22.0,1781575.0,9.542118630986627e-06,1.1226021918807797e-05,1.7400333974152085e-05,1.5716430686330915e-05,1.1787323014748186e-05,1.0664720822867407e-05,1.2348624110688576e-05,8.419516439105847e-06,7.296914247225068e-06,7.858215343165458e-06,7.858215343165458e-06,1.2348624110688576e-05
DURANGO,2016,10,7.0,15.0,27.0,11.0,20.0,28.0,23.0,21.0,19.0,20.0,19.0,26.0,1801963.0,3.884652459567705e-06,8.324255270502224e-06,1.4983659486904004e-05,6.104453865034964e-06,1.10990070273363e-05,1.553860983827082e-05,1.2763858081436744e-05,1.1653957378703114e-05,1.0544056675969484e-05,1.10990070273363e-05,1.0544056675969484e-05,1.4428709135537189e-05
DURANGO,2017,10,15.0,18.0,18.0,21.0,19.0,17.0,13.0,25.0,14.0,15.0,19.0,22.0,1819494.0,8.24405026892092e-06,9.892860322705105e-06,9.892860322705105e-06,1.1541670376489287e-05,1.0442463673966499e-05,9.343256971443709e-06,7.1448435663981305e-06,1.3740083781534867e-05,7.694446917659525e-06,8.24405026892092e-06,1.0442463673966499e-05,1.2091273727750683e-05
DURANGO,2018,10,12.0,18.0,16.0,7.0,18.0,22.0,17.0,14.0,11.0,14.0,13.0,18.0,1836460.0,6.534310575781667e-06,9.8014658636725e-06,8.712414101042223e-06,3.811681169205972e-06,9.8014658636725e-06,1.1979569388933057e-05,9.256939982357361e-06,7.623362338411944e-06,5.989784694466528e-06,7.623362338411944e-06,7.078836457096806e-06,9.8014658636725e-06
DURANGO,2019,10,5.0,15.0,11.0,12.0,19.0,8.0,21.0,14.0,9.0,12.0,9.0,15.0,1852952.0,2.6983969363480545e-06,8.095190809044163e-06,5.9364732599657195e-06,6.47615264723533e-06,1.0253908358122607e-05,4.317435098156887e-06,1.1333267132661828e-05,7.555511421774552e-06,4.857114485426498e-06,6.47615264723533e-06,4.857114485426498e-06,8.095190809044163e-06
DURANGO,2020,10,3.0,14.0,12.0,16.0,13.0,7.0,19.0,19.0,12.0,12.0,6.0,10.0,1868996.0,1.6051398718884363e-06,7.490652735479369e-06,6.420559487553745e-06,8.560745983404993e-06,6.955606111516558e-06,3.7453263677396846e-06,1.016588585529343e-05,1.016588585529343e-05,6.420559487553745e-06,6.420559487553745e-06,3.2102797437768727e-06,5.350466239628121e-06
DURANGO,2021,10,10.0,11.0,17.0,11.0,14.0,10.0,7.0,6.0,15.0,11.0,9.0,7.0,1884622.0,5.306103823472293e-06,5.836714205819522e-06,9.020376499902898e-06,5.836714205819522e-06,7.42854535286121e-06,5.306103823472293e-06,3.714272676430605e-06,3.183662294083376e-06,7.95915573520844e-06,5.836714205819522e-06,4.775493441125064e-06,3.714272676430605e-06
DURANGO,2022,10,9.0,8.0,7.0,11.0,11.0,11.0,11.0,11.0,9.0,12.0,8.0,7.0,1899856.0,4.737201135243934e-06,4.210845453550164e-06,3.6844897718563934e-06,5.789912498631475e-06,5.789912498631475e-06,5.789912498631475e-06,5.789912498631475e-06,5.789912498631475e-06,4.737201135243934e-06,6.316268180325246e-06,4.210845453550164e-06,3.6844897718563934e-06
DURANGO,2023,10,9.0,8.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914693.0,4.700492454926194e-06,4.178215515489951e-06,3.6559385760537067e-06,3.6559385760537067e-06,3.6559385760537067e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUANAJUATO,2015,11,62.0,64.0,59.0,68.0,66.0,82.0,60.0,91.0,88.0,86.0,68.0,69.0,5930618.0,1.045422247732024e-05,1.07914554604596e-05,9.948373002611195e-06,1.1465921426738327e-05,1.1128688443598964e-05,1.3826552308713864e-05,1.0116989494180876e-05,1.5344100732840994e-05,1.4838251258131952e-05,1.4501018274992589e-05,1.1465921426738327e-05,1.1634537918308008e-05
GUANAJUATO,2016,11,60.0,58.0,72.0,68.0,87.0,91.0,90.0,89.0,88.0,85.0,81.0,78.0,5997487.0,1.0004190088281976e-05,9.670717085339242e-06,1.2005028105938371e-05,1.1338082100052905e-05,1.4506075628008865e-05,1.5173021633894329e-05,1.5006285132422964e-05,1.4839548630951597e-05,1.467281212948023e-05,1.4172602625066131e-05,1.3505656619180667e-05,1.3005447114766569e-05
GUANAJUATO,2017,11,88.0,89.0,81.0,88.0,90.0,88.0,87.0,86.0,81.0,117.0,97.0,92.0,6058569.0,1.4524882030723756e-05,1.4689937508345618e-05,1.336949368737073e-05,1.4524882030723756e-05,1.4854992985967478e-05,1.4524882030723756e-05,1.4359826553101897e-05,1.4194771075480035e-05,1.336949368737073e-05,1.9311490881757723e-05,1.6010381329320504e-05,1.51851039412112e-05
GUANAJUATO,2018,11,172.0,156.0,224.0,216.0,237.0,198.0,224.0,244.0,263.0,228.0,205.0,242.0,6117205.0,2.8117416369077053e-05,2.5501842753348957e-05,3.661803062019337e-05,3.531024381232933e-05,3.8743184182972454e-05,3.236772349463521e-05,3.661803062019337e-05,3.98874976398535e-05,4.299349130853061e-05,3.72719240241254e-05,3.3512036951516256e-05,3.956055093788748e-05
GUANAJUATO,2019,11,225.0,254.0,248.0,236.0,218.0,202.0,185.0,222.0,218.0,247.0,265.0,255.0,6173718.0,3.6444813319947556e-05,4.114214481451858e-05,4.017028312598664e-05,3.822655974892277e-05,3.531097468332697e-05,3.271934351390848e-05,2.9965735396401325e-05,3.595888247568159e-05,3.531097468332697e-05,4.0008306177897984e-05,4.292389124349379e-05,4.1304121762607236e-05
GUANAJUATO,2020,11,308.0,257.0,282.0,276.0,282.0,286.0,289.0,270.0,307.0,287.0,277.0,238.0,6228175.0,4.945268878925207e-05,4.126409421700578e-05,4.5278111164185336e-05,4.431474709686224e-05,4.5278111164185336e-05,4.592035387573406e-05,4.640203590939561e-05,4.335138302953915e-05,4.929212811136489e-05,4.608091455362124e-05,4.447530777474942e-05,3.821344133714932e-05
GUANAJUATO,2021,11,254.0,217.0,272.0,277.0,250.0,199.0,242.0,217.0,221.0,239.0,216.0,219.0,6280645.0,4.0441706226032516e-05,3.4550591539563216e-05,4.330765391134191e-05,4.4103750490594516e-05,3.980482896263043e-05,3.1684643854253824e-05,3.853107443582626e-05,3.4550591539563216e-05,3.51874688029653e-05,3.805341648827469e-05,3.439137222371269e-05,3.486903017126426e-05
GUANAJUATO,2022,11,194.0,181.0,243.0,187.0,231.0,223.0,238.0,197.0,238.0,244.0,230.0,228.0,6331142.0,3.064218114204357e-05,2.858883910675199e-05,3.8381701121219524e-05,2.9536535430732717e-05,3.648630847325806e-05,3.522271337461709e-05,3.7591954184568916e-05,3.1116029304033936e-05,3.7591954184568916e-05,3.853965050854964e-05,3.632835908592794e-05,3.60124603112677e-05
GUANAJUATO,2023,11,214.0,229.0,232.0,219.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6379677.0,3.354401798084762e-05,3.589523419445844e-05,3.63654774371806e-05,3.432775671871789e-05,3.667897293232871e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUERRERO,2015,12,138.0,140.0,155.0,194.0,175.0,141.0,179.0,199.0,163.0,167.0,173.0,192.0,3576592.0,3.858421648317728e-05,3.914340802641174e-05,4.333734460067014e-05,5.4241579693741975e-05,4.892926003301467e-05,3.942300379802896e-05,5.0047643119483575e-05,5.563955855182811e-05,4.5574110773607946e-05,4.6692493860076856e-05,4.837006848978021e-05,5.368238815050752e-05
GUERRERO,2016,12,166.0,160.0,188.0,178.0,165.0,195.0,215.0,217.0,170.0,178.0,212.0,169.0,3597311.0,4.614557929520133e-05,4.4477666790555504e-05,5.226125847890272e-05,4.9481404304493e-05,4.5867593877760364e-05,5.4207156400989515e-05,5.9766864749808954e-05,6.03228355846909e-05,4.7257520964965217e-05,4.9481404304493e-05,5.893290849748604e-05,4.697953554752425e-05
GUERRERO,2017,12,165.0,174.0,209.0,187.0,214.0,205.0,191.0,188.0,185.0,197.0,192.0,203.0,3614241.0,4.565273870779508e-05,4.8142888091856634e-05,5.78268023632071e-05,5.1739770535501094e-05,5.921021868768574e-05,5.672006930362419e-05,5.2846503595084005e-05,5.201645380039682e-05,5.118640400570964e-05,5.450660318445837e-05,5.312318685997973e-05,5.616670277383274e-05
GUERRERO,2018,12,204.0,164.0,205.0,201.0,198.0,182.0,189.0,176.0,188.0,171.0,174.0,170.0,3629733.0,5.6202481008933715e-05,4.5182386693456514e-05,5.6477983366820646e-05,5.537597393527292e-05,5.4549466861612136e-05,5.0141429135421256e-05,5.2069945640629765e-05,4.848841498809968e-05,5.1794443282742834e-05,4.711090319866502e-05,4.7937410272325816e-05,4.68354008407781e-05
GUERRERO,2019,12,142.0,135.0,115.0,111.0,147.0,139.0,155.0,135.0,94.0,129.0,138.0,139.0,3643974.0,3.8968444890111726e-05,3.704746521243016e-05,3.1558951847625694e-05,3.0461249174664804e-05,4.0340573231312844e-05,3.8145167885391056e-05,4.253597857723464e-05,3.704746521243016e-05,2.5796012814581005e-05,3.540091120298882e-05,3.787074221715083e-05,3.8145167885391056e-05
GUERRERO,2020,12,102.0,97.0,128.0,116.0,107.0,78.0,86.0,111.0,93.0,109.0,96.0,99.0,3657048.0,2.7891348431849953e-05,2.6524125469504366e-05,3.5000907836046996e-05,3.1719572726417594e-05,2.9258571394195536e-05,2.132867821259114e-05,2.3516234952344076e-05,3.0352349764072004e-05,2.5430347099627898e-05,2.980546057913377e-05,2.625068087703525e-05,2.70710146544426e-05
GUERRERO,2021,12,87.0,87.0,98.0,89.0,120.0,110.0,94.0,94.0,97.0,102.0,110.0,78.0,3668973.0,2.3712357654308167e-05,2.3712357654308167e-05,2.6710471840485063e-05,2.425746932452215e-05,3.270670021283885e-05,2.9981141861768948e-05,2.5620248500057102e-05,2.5620248500057102e-05,2.6437916005378073e-05,2.7800695180913023e-05,2.9981141861768948e-05,2.1259355138345253e-05
GUERRERO,2022,12,84.0,83.0,84.0,98.0,89.0,120.0,116.0,76.0,112.0,102.0,83.0,90.0,3679821.0,2.2827197301173073e-05,2.2555444952349583e-05,2.2827197301173073e-05,2.6631730184701917e-05,2.418595904529052e-05,3.2610281858818675e-05,3.152327246352472e-05,2.0653178510585163e-05,3.0436263068230765e-05,2.7718739579995876e-05,2.2555444952349583e-05,2.4457711394114006e-05
GUERRERO,2023,12,123.0,109.0,115.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3689597.0,3.333697420070539e-05,2.954252185265762e-05,3.1168715716106664e-05,3.00845864738073e-05,3.00845864738073e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIDALGO,2015,13,4.0,16.0,13.0,7.0,8.0,5.0,11.0,15.0,21.0,20.0,12.0,14.0,2899495.0,1.3795505769108069e-06,5.5182023076432275e-06,4.483539374960122e-06,2.414213509593912e-06,2.7591011538216137e-06,1.7244382211385085e-06,3.793764086504719e-06,5.173314663415526e-06,7.242640528781736e-06,6.897752884554034e-06,4.138651730732421e-06,4.828427019187824e-06
HIDALGO,2016,13,14.0,7.0,12.0,10.0,11.0,7.0,15.0,15.0,11.0,9.0,15.0,9.0,2938756.0,4.7639205160278705e-06,2.3819602580139352e-06,4.083360442309603e-06,3.402800368591336e-06,3.7430804054504697e-06,2.3819602580139352e-06,5.104200552887004e-06,5.104200552887004e-06,3.7430804054504697e-06,3.0625203317322025e-06,5.104200552887004e-06,3.0625203317322025e-06
HIDALGO,2017,13,30.0,13.0,16.0,15.0,13.0,10.0,9.0,23.0,16.0,12.0,11.0,16.0,2976979.0,1.0077330071861441e-05,4.366843031139958e-06,5.374576038326102e-06,5.038665035930721e-06,4.366843031139958e-06,3.3591100239538135e-06,3.023199021558432e-06,7.72595305509377e-06,5.374576038326102e-06,4.030932028744576e-06,3.695021026349195e-06,5.374576038326102e-06
HIDALGO,2018,13,20.0,14.0,19.0,12.0,19.0,5.0,22.0,22.0,19.0,13.0,21.0,17.0,3014258.0,6.635132095527324e-06,4.644592466869127e-06,6.303375490750958e-06,3.981079257316394e-06,6.303375490750958e-06,1.658783023881831e-06,7.298645305080056e-06,7.298645305080056e-06,6.303375490750958e-06,4.312835862092761e-06,6.96688870030369e-06,5.639862281198225e-06
HIDALGO,2019,13,26.0,16.0,25.0,14.0,21.0,31.0,30.0,18.0,29.0,26.0,16.0,35.0,3050720.0,8.522578276603556e-06,5.2446635548329575e-06,8.194786804426495e-06,4.5890806104788375e-06,6.883620915718257e-06,1.0161535637488855e-05,9.833744165311796e-06,5.9002464991870775e-06,9.505952693134735e-06,8.522578276603556e-06,5.2446635548329575e-06,1.1472701526197095e-05
HIDALGO,2020,13,29.0,22.0,30.0,22.0,22.0,30.0,33.0,33.0,14.0,26.0,15.0,20.0,3086414.0,9.396017514176647e-06,7.1280132866167665e-06,9.720018118113772e-06,7.1280132866167665e-06,7.1280132866167665e-06,9.720018118113772e-06,1.0692019929925149e-05,1.0692019929925149e-05,4.5360084551197604e-06,8.42401570236527e-06,4.860009059056886e-06,6.480012078742515e-06
